site	rate	t	lnL
1	2.1233532336	1.5706827342	-598136.4259094401
100001	0.7966504638	1.5706827342	-562080.3628677753
200001	2.1689878576	1.5706827342	-598262.2391657591
300001	1.5208871379	1.5706827342	-593609.7430407708
400001	0.1658712989	1.5706827342	-416152.0485854509
500001	1.9393023509	1.5706827342	-597428.7867191205
600001	0.3910276441	1.5706827342	-496434.4274147983
700001	1.2659885282	1.5706827342	-588148.0025597091
800001	1.9712397889	1.5706827342	-597578.9417877885
900001	1.5260218346	1.5706827342	-593686.9048462503
