site	time	r_tilde	mu_nuc	mu_rate
2	0.000002	-0.0018812137	C	3
2	0.020002	1.4915662412	C	3
2	0.040002	1.4545939507	C	3
2	0.060002	1.4540817535	C	3
2	0.080002	1.4614935337	C	3
2	0.100002	1.4716526903	C	3
2	0.120002	1.4829947254	C	3
2	0.140002	1.4949376300	C	3
2	0.160002	1.5072482832	C	3
2	0.180002	1.5198371025	C	3
2	0.200002	1.5326778917	C	3
2	0.220002	1.5457722825	C	3
2	0.240002	1.5591324945	C	3
2	0.260002	1.5727725004	C	3
2	0.280002	1.5867034071	C	3
2	0.300002	1.6009311053	C	3
2	0.320002	1.6154551993	C	3
2	0.340002	1.6302686847	C	3
2	0.360002	1.6453580657	C	3
2	0.380002	1.6607037280	C	3
2	0.400002	1.6762804550	C	3
2	0.420002	1.6920580171	C	3
2	0.440002	1.7080017928	C	3
2	0.460002	1.7240733967	C	3
2	0.480002	1.7402312993	C	3
2	0.500002	1.7564314347	C	3
2	0.520002	1.7726277924	C	3
2	0.540002	1.7887729953	C	3
2	0.560002	1.8048188647	C	3
2	0.580002	1.8207169753	C	3
2	0.600002	1.8364192008	C	3
2	0.620002	1.8518782503	C	3
2	0.640002	1.8670481940	C	3
2	0.660002	1.8818849743	C	3
2	0.680002	1.8963468975	C	3
2	0.700002	1.9103950979	C	3
2	0.720002	1.9239939673	C	3
2	0.740002	1.9371115387	C	3
2	0.760002	1.9497198163	C	3
2	0.780002	1.9617950411	C	3
2	0.800002	1.9733178854	C	3
2	0.820002	1.9842735695	C	3
2	0.840002	1.9946518959	C	3
2	0.860002	2.0044472029	C	3
2	0.880002	2.0136582371	C	3
2	0.900002	2.0222879509	C	3
2	0.920002	2.0303432340	C	3
2	0.940002	2.0378345879	C	3
2	0.960002	2.0447757546	C	3
2	0.980002	2.0511833152	C	3
2	1.000002	2.0570762674	C	3
2	1.020002	2.0624755982	C	3
2	1.040002	2.0674038608	C	3
2	1.060002	2.0718847676	C	3
2	1.080002	2.0759428064	C	3
2	1.100002	2.0796028876	C	3
2	1.120002	2.0828900259	C	3
2	1.140002	2.0858290598	C	3
2	1.160002	2.0884444108	C	3
2	1.180002	2.0907598803	C	3
2	1.200002	2.0927984850	C	3
2	1.220002	2.0945823263	C	3
2	1.240002	2.0961324928	C	3
2	1.260002	2.0974689914	C	3
2	1.280002	2.0986107043	C	3
2	1.300002	2.0995753671	C	3
2	1.320002	2.1003795666	C	3
2	1.340002	2.1010387537	C	3
2	1.360002	2.1015672680	C	3
2	1.380002	2.1019783737	C	3
2	1.400002	2.1022843011	C	3
2	1.420002	2.1024962954	C	3
2	1.440002	2.1026246675	C	3
2	1.460002	2.1026788481	C	3
2	1.480002	2.1026674420	C	3
2	1.500002	2.1025982831	C	3
2	1.520002	2.1024784876	C	3
2	1.540002	2.1023145068	C	3
2	1.560002	2.1021121772	C	3
2	1.580002	2.1018767690	C	3
2	1.600002	2.1016130318	C	3
2	1.620002	2.1013252377	C	3
2	1.640002	2.1010172220	C	3
2	1.660002	2.1006924210	C	3
2	1.680002	2.1003539076	C	3
2	1.700002	2.1000044236	C	3
2	1.720002	2.0996464103	C	3
2	1.740002	2.0992820362	C	3
2	1.760002	2.0989132231	C	3
2	1.780002	2.0985416691	C	3
2	1.800002	2.0981688706	C	3
2	1.820002	2.0977961420	C	3
2	1.840002	2.0974246333	C	3
2	1.860002	2.0970553474	C	3
2	1.880002	2.0966891541	C	3
2	1.900002	2.0963268044	C	3
2	1.920002	2.0959689422	C	3
2	1.940002	2.0956161163	C	3
2	1.960002	2.0952687896	C	3
2	1.980002	2.0949273492	C	3
3	0.000002	-0.0010227887	C	3
